"Markettype","Trdwnt","Ndaytrd","Wnshrtrdtl","Wnvaltrdtl","Wretmdeq","Wretmdos","Wretmdtl","Wnstkcal","Wmvosd","Wmvttl"
"1","2009-47","5","86466804094","993046386217.00","0.056294","0.037456","0.038320","840","10998384240.290","18252414191.690"
"8","2009-47","5","1201520124","6473507845.91","0.065059","0.023555","0.032159","53","105168361.650","120511245.230"
"4","2009-47","5","46884198861","597601743350.27","0.060832","0.047162","0.049217","742","3388786292.990","5495488581.930"
"16","2009-48","5","408109798","20165827695.40","0.025161","0.036601","0.032485","28","26202692.080","143868955.100"
"2","2009-48","5","910730522","809134894.00","-0.092926","-0.093588","-0.096550","53","11638366.510","17028291.780"
"1","2009-48","5","96644414056","1133419611297.00","-0.065745","-0.063997","-0.064117","843","10373167895.440","17218837640.950"
"8","2009-48","5","1043584126","5627085817.82","-0.069364","-0.076133","-0.077665","54","97602433.830","111591811.370"
"4","2009-48","5","53489999614","691671168639.42","-0.061935","-0.063646","-0.061114","749","3185955130.540","5196544529.230"
"16","2009-49","5","475627551","24911896882.10","0.038241","0.031268","0.029179","28","27022009.600","148066978.330"
"2","2009-49","5","541916237","508556868.00","0.057860","0.073920","0.081457","53","12498678.170","18415374.750"
"1","2009-49","5","84893729106","998454606852.00","0.072122","0.069709","0.071546","844","11168814725.140","18472520919.210"
"8","2009-49","5","726392467","3925032228.58","0.061149","0.070752","0.069093","54","104303809.080","119097872.970"
"4","2009-49","5","45178738285","603451727932.54","0.069623","0.071878","0.069772","753","3435061719.900","5581203571.280"
"16","2009-50","5","378898224","20005066112.50","-0.005437","-0.016514","-0.016132","28","26575745.680","145678329.010"
"2","2009-50","5","287200908","288176650.00","0.009558","-0.001019","-0.003615","53","12464939.520","18327794.950"
"1","2009-50","5","57501405527","689074885307.00","0.003592","-0.018286","-0.021076","841","11065272097.500","18084430076.010"
"8","2009-50","5","411473347","2318498033.97","0.011701","0.008272","0.007084","54","105166641.650","119941587.030"
"4","2009-50","5","32045162528","431814690629.15","0.012774","0.004654","0.003775","759","3483836669.520","5694251070.380"
"16","2009-51","5","245157288","11830154487.46","-0.095963","-0.087500","-0.086067","28","24250364.400","133140127.410"
"2","2009-51","5","293204917","301702563.00","-0.053790","-0.058047","-0.062111","53","11741374.980","17189429.450"
"1","2009-51","5","52818231300","626824351822.00","-0.066428","-0.039330","-0.041008","842","10648640593.530","17407950346.650"
"8","2009-51","5","418818203","2324968982.90","-0.091751","-0.080135","-0.081405","54","96739032.800","110177683.210"
"4","2009-51","5","27798128627","378009082915.02","-0.075051","-0.073607","-0.075731","765","3246390421.520","5284522924.670"
"16","2009-52","5","308108634","13274378694.32","-0.025311","-0.029953","-0.029799","36","29206625.600","157449367.680"
"2","2009-52","5","246796499","264202997.00","0.031362","0.028037","0.030167","53","12070571.370","17707999.160"
"1","2009-52","5","42419107012","503598861428.00","0.030997","0.013745","0.008548","843","10851900934.390","17556803516.040"
"8","2009-52","5","300447410","1682038646.63","0.054738","0.042129","0.043422","54","100814616.530","114961914.500"
"4","2009-52","5","22368947468","308602009764.83","0.042389","0.039423","0.037228","769","3384132714.040","5479471098.530"
"16","2009-53","4","269859121","11309433878.44","0.031309","0.023640","0.022604","36","29897084.400","161008350.280"
"2","2009-53","4","177977888","165289557.00","0.021020","0.021836","0.021512","53","12334147.100","18088951.670"
"1","2009-53","4","43802090757","523277877605.00","0.028267","0.042785","0.043756","838","11299281081.870","18302160897.480"
"8","2009-53","4","257362181","1334321543.89","0.021995","0.031624","0.030152","54","104002322.290","118427862.350"
"4","2009-53","4","21810008931","302392765149.34","0.028476","0.030219","0.029320","766","3463254575.460","5599800826.450"
"16","2010-02","5","324110312","13977591803.33","-0.055542","-0.057508","-0.058167","42","32683159.760","173891889.090"
"2","2010-02","5","306768076","321089332.00","0.003669","0.005364","0.008944","53","12400313.770","18250746.880"
"1","2010-02","5","58317667174","730448785193.00","-0.002571","-0.026567","-0.025121","843","11018862165.530","17886471828.850"
"8","2010-02","5","403119631","2321759811.32","-0.007761","-0.011305","-0.013467","54","102826536.090","116832992.760"
"4","2010-02","5","32316623830","458917217259.16","0.004185","-0.011657","-0.010195","766","3422758107.690","5545072657.750"
"16","2010-03","5","378425672","16804943361.65","0.068208","0.066908","0.065190","42","34869937.520","185228009.360"
"2","2010-03","5","387567216","365455374.00","0.035934","0.024547","0.021162","53","12704715.230","18636976.200"
"1","2010-03","5","68794670230","865787958211.00","0.046085","0.008021","0.008686","844","11720116239.820","18020181878.750"
"8","2010-03","5","484998986","2725470534.07","0.029733","0.028820","0.030124","53","93119747.270","107666078.600"
"4","2010-03","5","37878641553","546047873051.89","0.052503","0.032167","0.031683","775","3572566344.910","5808410828.340"
"16","2010-04","5","393284925","17703090155.27","-0.096587","-0.115995","-0.116564","50","36128143.040","189695226.960"
"2","2010-04","5","474990059","519754054.00","-0.010629","-0.009040","-0.011675","53","12589853.270","18419381.430"
"1","2010-04","5","67059959803","827220379160.00","-0.031580","-0.028734","-0.029757","847","11410881171.160","17590112057.910"
"8","2010-04","5","452409453","2733838171.61","-0.034124","-0.040146","-0.039771","54","101202311.080","115209620.110"
"4","2010-04","5","36088756479","501785566400.91","-0.049821","-0.051905","-0.052612","779","3399896305.140","5535752813.350"
"16","2010-05","5","276030155","11706060109.02","-0.046691","-0.029541","-0.028306","50","35060864.720","184325550.210"
"2","2010-05","5","287240456","326300875.00","-0.055223","-0.058048","-0.060936","53","11859032.210","17296965.660"
"1","2010-05","5","39939040564","473811000826.00","-0.042583","-0.046872","-0.044784","847","10895325776.700","16836037838.370"
"8","2010-05","5","292292855","1665097868.63","-0.036508","-0.025416","-0.027065","54","98630083.740","112091456.470"
"4","2010-05","5","22624147942","302344842843.97","-0.036948","-0.032707","-0.035336","787","3325215101.050","5422529237.780"
